,iyear,imonth,iday,country_txt,city,success,attacktype1_txt,targtype1_txt,natlty1_txt,gname,motive
10,2012,1,31,Pakistan,Marwar,1,Armed Assault,Military,Pakistan,Baloch Liberation Army (BLA),A Baloch Liberation Army (BLA) spokesperson claimed that the attacks were in response to the killings of Nawab Akbar Bugti's granddaughter and great-granddaughter.
11,2012,1,31,Pakistan,Marwar,1,Armed Assault,Military,Pakistan,Baloch Liberation Army (BLA),A Baloch Liberation Army (BLA) spokesperson claimed that the attacks were in response to the killings of Nawab Akbar Bugti's granddaughter and great-granddaughter.
12,2012,2,14,Pakistan,Maskan,1,Armed Assault,Private Citizens & Property,Pakistan,Baloch Liberation Front (BLF),"A Baloch Liberation Front (BLF) spokesperson claimed responsibility for the attack and asserted that they had previously warned the construction company against investing in Balochistan because the province was in a state of war and the roads being built were intended for military transportation. Furthermore, he warned that similar attacks would be carried out against private companies who engaged in construction work or oil and gas exploration projects in Balochistan."
13,2012,7,6,Pakistan,Turbat,1,Armed Assault,Private Citizens & Property,Pakistan,Baloch Liberation Tigers (BLT),"A Baloch Liberation Tigers (BLT) spokesperson, Meeran Baloch, claimed responsibility for the attack and stated that the identity cards of the victims were checked before they were killed in order to target only ethnic Punjabs."
14,2011,3,1,Pakistan,Khuzdar,1,Armed Assault,Government (General),Pakistan,Baloch Mussalah Diffah Tanzim (BMDT),"A Baloch Mussalah Diffah Tanzim spokesman, Mir Jang Baloch, calling from an unspecified location, said that his organization had carried out the attack and vowed to continue such attacks in the future against those who are involved in targeted killings and torching government offices. He threatened the Baloch people against participating in the activities of the Baloch Student Organization, Baloch Republican Party, Balochistan National Party and Baloch National Movement, otherwise they would meet the same fate."
15,2001,11,0,Spain,Bilbao,1,Bombing/Explosion,Police,Spain,Unknown,A banner attached to the explosive device urged ETA members to kill police officers.
16,2010,8,14,Pakistan,Quetta,1,Armed Assault,Business,Pakistan,Baloch Liberation Army (BLA),"A BLA spokesman, Jiaind Baloch, calling journalists from unidentified location, said: ""BLA conducted the attack in response to killing of missing people in government custody."""
17,2013,6,17,Nigeria,Maiduguri,1,Armed Assault,Educational Institution,Nigeria,Boko Haram,"A Boko Haram spokesman claimed responsibility for the attack, saying the students were targeted for assisting the army."
18,2012,1,6,Nigeria,Potiskum,1,Armed Assault,Police,Nigeria,Boko Haram,"A Boko Haram spokesperson, in claiming the attack, stated, ""We want to prove to the federal government of Nigeria that we can always change our tactics."""
19,2012,1,6,Nigeria,Potiskum,1,Facility/Infrastructure Attack,Business,Nigeria,Boko Haram,"A Boko Haram spokesperson, in claiming the attack, stated, ""We want to prove to the federal government of Nigeria that we can always change our tactics."""
20,2012,1,6,Nigeria,Potiskum,1,Facility/Infrastructure Attack,Business,Nigeria,Boko Haram,"A Boko Haram spokesperson, in claiming the attack, stated, ""We want to prove to the federal government of Nigeria that we can always change our tactics."""
21,1998,11,16,United Kingdom,Ballyginniff,1,Bombing/Explosion,Business,Northern Ireland,Orange Volunteers (OV),A brief statement said the blast was an attempt to assassinate a senior IRA commander from South Antrim who drank in the bar.
22,2013,8,27,Russia,Nizhniye Achaluki,1,Assassination,Government (General),Russia,Caucasus Emirate,"A Caucasus Emirate spokesperson stated that Akhmet Kotiyev was targeted because he was the head of an organization which was waging a war against Islam. Additionally, a colleague of Kotiyev stated that he was targeted because of his rehabilitation work with former terrorists."
23,2003,1,29,Colombia,Sacama,1,Hostage Taking (Kidnapping),Government (General),Colombia,Revolutionary Armed Forces of Colombia (FARC),A FARC broadcast has stated that the mayor will be released when the government accepts his resignation.
24,2001,8,16,Indonesia,Banda Aceh,1,Bombing/Explosion,Educational Institution,Indonesia,Free Aceh Movement (GAM),"A GAM spokesman said, ""We planted bombs at various corners of the city for three days, starting on Thursday, so that people will stay home and reflect on what Indonesia has done to them. ""By staying home and mourning instead of going out to celebrate, they also won't be targeted by the authorities retaliating against us, like in the past."
25,2001,8,16,Indonesia,Aceh Besar Regency,0,Bombing/Explosion,Utilities,Indonesia,Free Aceh Movement (GAM),"A GAM spokesman said, ""We planted bombs at various corners of the city for three days, starting on Thursday, so that people will stay home and reflect on what Indonesia has done to them. ""By staying home and mourning instead of going out to celebrate, they also won't be targeted by the authorities retaliating against us, like in the past."
26,2001,8,16,Indonesia,Banda Aceh,1,Bombing/Explosion,Business,Indonesia,Free Aceh Movement (GAM),"A GAM spokesman said, ""We planted bombs at various corners of the city for three days, starting on Thursday, so that people will stay home and reflect on what Indonesia has done to them. ""By staying home and mourning instead of going out to celebrate, they also won't be targeted by the authorities retaliating against us, like in the past."
27,2001,8,16,Indonesia,Banda Aceh,1,Bombing/Explosion,Business,Indonesia,Free Aceh Movement (GAM),"A GAM spokesman said, ""We planted bombs at various corners of the city for three days, starting on Thursday, so that people will stay home and reflect on what Indonesia has done to them. ""By staying home and mourning instead of going out to celebrate, they also won't be targeted by the authorities retaliating against us, like in the past."
28,2001,8,16,Indonesia,Banda Aceh,1,Bombing/Explosion,Business,Indonesia,Free Aceh Movement (GAM),"A GAM spokesman said, ""We planted bombs at various corners of the city for three days, starting on Thursday, so that people will stay home and reflect on what Indonesia has done to them. ""By staying home and mourning instead of going out to celebrate, they also won't be targeted by the authorities retaliating against us, like in the past."
29,2001,8,16,Indonesia,Banda Aceh,1,Bombing/Explosion,Business,Indonesia,Free Aceh Movement (GAM),"A GAM spokesman said, ""We planted bombs at various corners of the city for three days, starting on Thursday, so that people will stay home and reflect on what Indonesia has done to them. ""By staying home and mourning instead of going out to celebrate, they also won't be targeted by the authorities retaliating against us, like in the past."
30,2001,8,16,Indonesia,Banda Aceh,1,Bombing/Explosion,Government (General),Indonesia,Free Aceh Movement (GAM),"A GAM spokesman said, ""We planted bombs at various corners of the city for three days, starting on Thursday, so that people will stay home and reflect on what Indonesia has done to them. ""By staying home and mourning instead of going out to celebrate, they also won't be targeted by the authorities retaliating against us, like in the past."
31,2003,4,11,Democratic Republic of the Congo,Ruzizi,1,Armed Assault,Private Citizens & Property,Democratic Republic of the Congo,Mayi Mayi,A government authority reported the presumed objective of the raiders was to cut the Uvira-Bukavu road.
32,2005,12,2,Thailand,Yaba,1,Assassination,Government (General),Thailand,Unknown,A government official stated that this was done to 'incite unrest.'
33,2008,7,23,Nepal,Mahottari district,1,Hostage Taking (Kidnapping),Government (General),Nepal,Janatantrik Terai Mukti Morcha- Rajan Mukti (JTMM-R),A group claiming to be affiliated with the Janatantrik Tarai Mukti Morcha - Rajan Mukti claimed action was taken against Rana because of his support for the rulers of the hills.
34,2002,3,31,Israel,Haifa,1,Bombing/Explosion,Business,Israel,Hamas (Islamic Resistance Movement),"A HAMAS spokesman claimed that the attack was a response to Israel�s military barricade of Yasser Arafat�s compound in Ramallah, West Bank."
35,2011,3,17,India,Tal,1,Facility/Infrastructure Attack,Transportation,India,People's Liberation Front of India,A hand written note left at the incident site stated that the bus was targeted because it had run during a 24 hour shutdown.
36,2011,5,12,India,Bokaro district,1,Bombing/Explosion,Transportation,India,Communist Party of India - Maoist (CPI-Maoist),A handwritten note left at the incident site said that the outfit had given a 12 hour call for shut down in Jharkhand to protest the arrest of its leader Uday Ji at Gomia in Bermo on 05/05/2011.
37,2010,6,13,Somalia,Afgoye,1,Hostage Taking (Kidnapping),Private Citizens & Property,Somalia,Hizbul al Islam (Somalia),"A Hezbal Islam leader, Sheik Mohamed Abu Abdalla, said the men violated the Islamic law and Football descended from the old Christian cultures and our Islamic administration will never allow watching what they call the FIFA World Cup."
38,2010,6,13,Somalia,Afgoye,1,Armed Assault,Private Citizens & Property,Somalia,Hizbul al Islam (Somalia),"A Hezbal Islam leader, Sheik Mohamed Abu Abdalla, said the men violated the Islamic law and Football descended from the old Christian cultures and our Islamic administration will never allow watching what they call the FIFA World Cup."
39,2003,3,15,India,Udhampur,1,Armed Assault,Police,India,Hizbul Mujahideen (HM),"A Hizb-ul-Mujahidin (HM) spokesman said that the attack was in retaliation of the killing of the group's district commander, Amanullah, and three other fighters by the Indian army."
40,2001,5,9,India,New Delhi,1,Bombing/Explosion,Military,India,Hizbul Mujahideen (HM),A Hizb-ul-Mujahidin (HM) spokesperson said that the attack was to warn Indian security forces in the Jammu and Kashmir state to stop committing atrocities against common Kashmiris.
41,2003,3,23,India,Maphou,1,Hostage Taking (Kidnapping),NGO,Germany,Kuki Liberation Army (KLA),A KLA spokesman said that the group abducted Wolfgang because there was discrimination against the Kukis in the implementation of the German NGO-funded development program that would provide relief and rehabilitation work for refugees displaced by the ethnic conflict between the Nagas and the Kukis.
42,2002,2,25,West Bank and Gaza Strip,Jerusalem,1,Armed Assault,Transportation,Israel,Al-Aqsa Martyrs Brigade,A leaflet disseminated by the group said that the attack was in response to the ongoing siege on Yassir Arafat in Ramallah. It also said that the attack marked the 40th day of Ra'id al-Karmi's liquidation.
43,2003,3,8,West Bank and Gaza Strip,Gush Qatif,1,Bombing/Explosion,Private Citizens & Property,Israel,Hamas (Islamic Resistance Movement),A leaflet said that the attack was in retaliation for the assassination of HAMAS leader Ibrahim Al Maqadma.
44,2003,3,12,Japan,Fussa,1,Bombing/Explosion,Military,United States,Revolutionary Workers' Council (Kakurokyo),"A letter claiming responsibility said that the group would ""block Japan's dispatch of the Self-Defense Forces abroad and a U.S.-led war against Iraq."""
45,2010,9,25,India,Ramgiri,1,Assassination,Government (General),India,Communist Party of India - Maoist (CPI-Maoist),A letter left at the incident site accused Panda as being a supporter of 'Shanti Committee' which is opposed to CPI-Maoist and Chasi Mulia Adivasi Sangh (CMAS) being sponsored by the Maoists and that he was exploiting the poor people.
46,2010,8,23,India,Koraput district,1,Hostage Taking (Kidnapping),Private Citizens & Property,India,Communist Party of India - Maoist (CPI-Maoist),A letter left at the incident site by Maoists claimed Meleka was killed for being a suspected police informer.
47,2012,7,5,India,Madakapodur,1,Assassination,Government (General),India,Maoists,A letter left by Maoists near the corpse of slain tribal leader Ganggadhar Chalana stated that the victim was killed after being identified as a police informant.
48,2012,5,19,India,Khairaput,1,Armed Assault,Business,India,Maoists,A letter left by Maoists on the body of Budra Dhangada Majhi claimed that he was killed because the group believed that he was a police informant and had been exploiting his employees.
49,2008,4,30,India,Malkangiri,1,Armed Assault,Private Citizens & Property,India,Communist Party of India - Maoist (CPI-Maoist),A letter left near the body described the victim as a police informer.
50,2013,3,16,Pakistan,Peshawar,1,Armed Assault,Private Citizens & Property,Pakistan,Unknown,"A letter left on the bodies of the two female victims accused them of prostitution and threatened violence against others engaged in ""immoral activities."""
51,2012,5,2,India,Koraput,1,Hostage Taking (Kidnapping),Private Citizens & Property,India,Maoists,A letter left on the body of Balaram Naik by Maoists claimed that he was murdered because he was working as a police informant.
52,2012,5,14,India,Chhota Nagra,1,Armed Assault,Private Citizens & Property,India,Communist Party of India - Maoist (CPI-Maoist),A letter left on the body of the victim by Maoists claimed that the victim was murdered because he was believed to be a police informant.
53,2012,5,11,India,Narayanpatna,1,Armed Assault,Business,India,Maoists,A letter left on the body of the victim by Maoists claimed that the victim was murdered because he was helping to set up police camps in the area.
54,2001,12,26,Philippines,Cotabato City,0,Bombing/Explosion,Telecommunication,Philippines,Indigenous People's Federal Army (IPFA),A letter that urged the government to push for the establishment of a federal system of government in the Philippines was found.
55,2013,8,4,Indonesia,Jakarta,1,Bombing/Explosion,Religious Figures/Institutions,Indonesia,Muslim extremists,"A letter was discovered in one of the explosive packages, which read, ""We respond to the screams of Rohingya."" Police believe that the assailants carried out the attack in revenge for anti-Muslim Rohingya violence in neighboring Myanmar."
56,2011,6,24,India,Koraput district,1,Hostage Taking (Kidnapping),Private Citizens & Property,India,Communist Party of India - Maoist (CPI-Maoist),A Maoist letter recovered from the incident site claimed that Sirika was punished at a �Kangaroo court� for being a police informer.
57,2011,6,24,India,Dhanora,1,Hostage Taking (Kidnapping),Private Citizens & Property,India,Communist Party of India - Maoist (CPI-Maoist),A Maoist note was recovered from the incident site claiming that the victim was a police informer.
58,2012,5,5,Syria,Aleppo,1,Bombing/Explosion,Business,Syria,Free Syrian Army,"A member of the Free Syrian Army claimed responsibility for the bombing, stating that the car wash was targeted because it was used by members of a pro-Assad militia."
59,2013,6,12,India,Gadchiroli district,1,Assassination,Police,India,Communist Party of India - Maoist (CPI-Maoist),A message left at the scene by the Communist Party of India - Maoist (CPI-M) claimed that the attack was part of their efforts to preserve the forests.
60,2009,10,30,Thailand,Nong Chik,1,Facility/Infrastructure Attack,Educational Institution,Thailand,Muslim Separatists,"A message was found on the schools wall stating that soldiers be withdrawn from the area,"
61,2007,4,30,Thailand,Muang district,1,Bombing/Explosion,Private Citizens & Property,Thailand,Unknown,"A message written in red ink said: ""This is revenge for people in the mosque in Nong Chik (district) who were cruelly killed by the soldiers""."
62,2001,8,14,Indonesia,Banda Aceh,1,Facility/Infrastructure Attack,Educational Institution,Indonesia,Free Aceh Movement (GAM),"A military commander said the attacks were aimed ""at terrorizing the population"" and preventing independence day celebrations at the schools."
63,2001,8,14,Indonesia,Banda Aceh,1,Facility/Infrastructure Attack,Educational Institution,Indonesia,Free Aceh Movement (GAM),"A military commander said the attacks were aimed ""at terrorizing the population"" and preventing independence day celebrations at the schools."
64,2016,10,5,Belgium,Brussels,1,Armed Assault,Police,Belgium,Muslim extremists,"A Muslim extremist, identified as Hicham Diop, claimed responsibility for the incident and stated that he carried out the attack in retaliation for police running him over in 2011."
65,2016,6,16,United Kingdom,Birstall,1,Assassination,Government (General),Great Britain,Neo-Nazi extremists,"A neo-Nazi supporter, identified as Tommy Mair, claimed responsibility for the incident and stated ""put Britain first"" as he attacked Jo Cox, who supported Britain remaining in the European Union. Moreover, in court Mair identified himself as ""Death to traitors, freedom for Britain."""
66,2008,12,5,Pakistan,Mir Ali,1,Armed Assault,Private Citizens & Property,Pakistan,Tehrik-i-Taliban Pakistan (TTP),"A note attached to the victim's body warned that anyone ""found spying against the mujahedeen would face the same fate."""
67,2010,1,23,Pakistan,North Waziristan district,1,Armed Assault,Private Citizens & Property,Pakistan,Taliban,A note found near the bodies said that they were spying for the United States and warned that all traitors would meet the same fate.
68,2008,4,23,Pakistan,North Waziristan district,1,Hostage Taking (Kidnapping),Military,Pakistan,Tehrik-i-Taliban Pakistan (TTP),"A note found near the body said the man was a ""US spy"" and had been punished because he was spying on ""mujahedin"" activities in the area."
69,2008,7,30,Pakistan,Miran Shah,1,Armed Assault,Private Citizens & Property,Pakistan,Unknown,A note found with the body stated she was killed for allegedly being a spy for US-led coalition forces in Afghanistan.
70,2011,3,14,India,Gaya,1,Bombing/Explosion,Telecommunication,India,Communist Party of India - Maoist (CPI-Maoist),A note left at the incident site asked the Bihar government to stop the �undeclared execution of the Operation Green Hunt� and �killing innocent Dalits� by naming them as Maoists.
71,2011,3,14,India,Gaya,1,Bombing/Explosion,Telecommunication,India,Communist Party of India - Maoist (CPI-Maoist),A note left at the incident site asked the Bihar government to stop the �undeclared execution of the Operation Green Hunt� and �killing innocent Dalits� by naming them as Maoists.
72,2011,3,14,India,Gaya,1,Facility/Infrastructure Attack,Telecommunication,India,Communist Party of India - Maoist (CPI-Maoist),A note left at the incident site asked the Bihar government to stop the �undeclared execution of the Operation Green Hunt� and �killing innocent Dalits� by naming them as Maoists.
73,2013,12,13,India,Gasupara,1,Hostage Taking (Kidnapping),Private Citizens & Property,India,Garo National Liberation Army,A note left at the scene by the Garo National Liberation Army (GNLA) stated the victims had been posing as members and committing crimes in the group's name.
74,1999,4,20,Italy,Milan,0,Bombing/Explosion,Educational Institution,Italy,Anti-Racist Guerrilla Nuclei,A note left at the scene claimed that the attack was protesting actions against immigration centers.
75,2007,11,28,Thailand,Rueso ((District)),1,Armed Assault,Police,Thailand,Unknown,A note left at the scene indicated that the man was killed because he worked as a government-backed soldier.
76,2003,3,21,Norway,Oslo,1,Facility/Infrastructure Attack,Business,United States,Unknown,A note left at the scene said the attack was in protest against the Iraq war.
77,2011,11,14,India,Khuripani,1,Armed Assault,Government (General),India,Maoists,A note left at the scene stated that the victim was a police informer and was guilty of exploiting women.
78,2011,11,12,Afghanistan,Unknown,1,Hostage Taking (Kidnapping),Business,Afghanistan,Unknown,A note left at the scene stated that the victims' had not heeded warnings to quit working for a private security company
79,2012,6,15,India,Mendipathar,1,Armed Assault,Police,India,Garo National Liberation Army,A note left by the Garo National Liberation Army on the victim claimed responsibility and stated that the victim had been killed because he was a dacoit leader and a police informer.
80,2002,5,11,Italy,Milan,0,Facility/Infrastructure Attack,Transportation,Italy,Unknown,A note left by the perpetrators said that the attack was on behalf of Allah to convert all non-believers to Islam.
81,2008,4,23,Pakistan,Miran Shah,1,Armed Assault,Private Citizens & Property,Pakistan,Unknown,"A note left on his body said, ""This man has met his fate because he was spying for the American and Afghan forces and giving them help. Whoever helps American forces will meet the same fate."""
82,2008,7,29,Pakistan,Mohmand district,1,Unknown,Private Citizens & Property,Pakistan,Unknown,A note left with the body stated he was killed for being a spy for the United States.
83,2007,5,15,Pakistan,Peshawar,1,Bombing/Explosion,Business,Afghanistan,Taliban (Pakistan),A note was attached to the suicide bomber's leg stating that anyone helping the United States would meet a similar fate
84,2000,12,25,Philippines,General Santos,1,Bombing/Explosion,Religious Figures/Institutions,Philippines,Muslims,A note was found at the scene of the blast stating that Abedin and his family would be killed if he did not stop publicizing criticisms about pseudo-Islam followers
85,2006,2,8,Pakistan,Wana,1,Armed Assault,Private Citizens & Property,Pakistan,Unknown,A note was found on the man's body that said he was an informant for American and Pakistani authorities.
86,2007,6,9,Pakistan,North Waziristan district,1,Assassination,Private Citizens & Property,Pakistan,Unknown,A note was left accusing the victim of spying for the United States and threatened similar punishment for others who also spied for the United States.
87,2013,6,6,Peru,Villa Virgen,1,Assassination,Government (General),Peru,Shining Path (SL),A note was left at the scene implying that the attackers believed the victim was informing on them to the police.
88,2000,7,29,Greece,Athens,1,Bombing/Explosion,Business,Greece,Anarchists,"A note was left at the scene stating that the attack was in response to ""government attempts to deregulate the labor market"""
89,2007,6,8,Thailand,Unknown,1,Bombing/Explosion,Telecommunication,Thailand,Unknown,A note was left stating that the attack was in retaliation for an explosion at a football pitch in Ban Bue Su village several days before.
90,2012,11,20,West Bank and Gaza Strip,Gaza,1,Armed Assault,Private Citizens & Property,West Bank and Gaza Strip,Hamas (Islamic Resistance Movement),A note was pinned to the victims' bodies stating they were traitors.
91,2016,3,8,West Bank and Gaza Strip,Qalandiyah,0,Armed Assault,Private Citizens & Property,Israel,Palestinian Extremists,"A Palestinian extremist claimed responsibility for the incident and stated that she ""wanted to attack Jews."""
92,2015,10,12,West Bank and Gaza Strip,Jerusalem,1,Armed Assault,Private Citizens & Property,Israel,Palestinian Extremists,"A Palestinian extremist, identified as Ahmed Mansara, claimed responsibility for the incident and stated that the attack was carried out in retaliation for alleged violations at Temple Mount."
93,2016,7,17,Israel,Jerusalem,0,Bombing/Explosion,Transportation,Israel,Palestinian Extremists,"A Palestinian extremist, identified as Ali Abu Hassan, claimed responsibility for the incident and stated that the attack was carried out in retaliation ""for visits by tourists and Israeli Jews to the Temple Mount."""
94,2014,11,5,West Bank and Gaza Strip,Alon Shvut,1,Unarmed Assault,Military,Israel,Palestinian Extremists,"A Palestinian extremist, identified as Hamam Mesalmeh, claimed responsibility for the incident and stated that the attack was carried out in retaliation to Israel's military operations in summer 2014."
95,2015,5,4,West Bank and Gaza Strip,Jerusalem,0,Unarmed Assault,Transportation,West Bank and Gaza Strip,Palestinian Extremists,"A Palestinian extremist, identified as Hatem Saleh, claimed responsibility for the incident and stated that the attack was carried out in order to seek revenge on security guards who assaulted him."
96,2016,3,9,West Bank and Gaza Strip,Jerusalem,0,Armed Assault,Transportation,Israel,Palestinian Extremists,"A Palestinian extremist, identified as Muhammad Jamal Al-Kaluti, claimed responsibility for the incident in a will and encouraged ""Islamic armies"" to ""liberate Al-Aqsa Mosque."""
97,2016,3,9,West Bank and Gaza Strip,Jerusalem,1,Armed Assault,Police,Israel,Palestinian Extremists,"A Palestinian extremist, identified as Muhammad Jamal Al-Kaluti, claimed responsibility for the incident in a will and encouraged ""Islamic armies"" to ""liberate Al-Aqsa Mosque."""
98,2016,5,10,West Bank and Gaza Strip,Hizma,1,Bombing/Explosion,Military,Israel,Palestinian Extremists,"A Palestinian extremist, identified as Samer Mahmoud Daoud Alhaliba, claimed responsibility for the incident and stated that the attack was carried out in retaliation for the alleged defilement of Al-Aqsa and aggression towards Palestinian children."
99,2012,7,9,Pakistan,Wazirabad,1,Armed Assault,Military,Pakistan,Tehrik-i-Taliban Pakistan (TTP),"A pamphlet found at the site of the attack claimed that it was in response to the reopening the previous week of North Atlantic Treaty Organization (NATO) supply routes through Pakistan into Afghanistan. The supply routes had been closed for several months by Pakistan's government in protest over an airstrike, which had killed 24 Pakistani soldiers in November. The group pledged more attacks unless the supply routes were closed."
100,2012,7,9,Pakistan,Wazirabad,0,Bombing/Explosion,Military,Pakistan,Tehrik-i-Taliban Pakistan (TTP),"A pamphlet found at the site of the attack claimed that it was in response to the reopening the previous week of North Atlantic Treaty Organization (NATO) supply routes through Pakistan into Afghanistan. The supply routes had been closed for several months by Pakistan's government in protest over an airstrike, which had killed 24 Pakistani soldiers in November. The group pledged more attacks unless the supply routes were closed."
101,2012,11,2,Nepal,Dadeldhura district,0,Bombing/Explosion,Educational Institution,Nepal,Sudurpaschim Janata Dal,A pamphlet left at the scene criticized the presence of politics on campus
102,2005,9,13,Pakistan,Quetta,1,Armed Assault,Private Citizens & Property,Pakistan,Sipah-e-Sahaba/Pakistan (SSP),A police official believed that it was a sectarian killing as the victim belonged to the Shi i minority.
103,2005,9,14,Pakistan,Quetta,1,Armed Assault,Private Citizens & Property,Pakistan,Lashkar-e-Jhangvi,A police official believed that it was a sectarian killing as the victim belonged to the Shi i minority.
104,2001,8,7,Indonesia,East Aceh Regency,1,Hostage Taking (Kidnapping),Private Citizens & Property,Indonesia,Free Aceh Movement (GAM),A police spokesman said the woman was killed because a soldier had visited her home.
105,2014,5,25,Ukraine,Shchastya,1,Hostage Taking (Kidnapping),Journalists & Media,Ukraine,Luhansk People's Republic,A press secretary for the Luhansk People's Republic claimed responsibility for the kidnapping and stated that the victims were being held on suspicion of espionage.
106,2005,5,17,Sri Lanka,Trincomalee,1,Bombing/Explosion,Business,Sri Lanka,Unknown,"A pro-Tamil Tiger organization called for protests over a newly constructed Buddha statue installed by the Sinhala majority.  Sources claim that Trincomalee, home to an equal number of Buddhists, Hindus, and Muslims, was the site of unrest and discontent from protesters unhappy with  Sinhalese businesses that opened despite the planned protests.  Also, the attack occurred shortly before the Vesak festival celebrating the birth of Buddha."
107,2005,6,1,Bangladesh,Alamdanga,1,Bombing/Explosion,Government (General),Bangladesh,Purbo Banglar Communist Party,"A representative from the ML- Janajuddha faction of the Purba Banglar Communist Party (PBCP) claimed responsibility shortly after the attack, stating that Mouhiuddin was a social exploiter and an enemy of the state. Despite this claim, some officials still suspected BNP intra-party rivalry and conflict as the reason for the attack."
108,2008,5,12,Afghanistan,,1,Unarmed Assault,Private Citizens & Property,Afghanistan,Taliban,A resident of Hajji Sultan village was hung because he was accused of spying for German troops.
109,2008,4,13,Somalia,Beledweyne,1,Armed Assault,Educational Institution,Great Britain,Al-Shabaab,"A senior commander of the al Shabaab, Mukhtar Ali Robow, said the four victims were killed accidentally in crossfire."
110,2012,10,15,India,Imphal West district,1,Bombing/Explosion,Military,India,People's Liberation Army (India),"A seven-member coordination committee (CorCom ) consisting of the Kangleipak Communist Party, Kanglei Yawol Kanna Lup, People's Revolutionary Party of Kangleipak, People's Revolutionary Party of Kangleipak (Progressive), Revolutionary People's Front (RPF), United National Liberation Front (UNLF), and United People's Party of Kangleipak, had called for an 18 hour strike. This strike, which was given the moniker of National Black Day, was meant to protest the annexation of Manipur by India in 1949. These seven organizations believed that the annexation accord was signed without the approval of the people. The People's Liberation Army (PLA), speaking on behalf of the Revolutionary People's Front (RPF), claimed responsibility for the attack and stated that Assam Rifles were targeted because they did not heed the call to strike."
111,2001,4,3,India,Watargam,1,Armed Assault,Military,India,Lashkar-e-Taiba (LeT),"A spokesman for Lashkar-e Taiba said it had carried out the attacks in revenge for the gunning down of its Kashmir field commander, Salaudin Ayubi, one week prior."
112,2002,3,22,West Bank and Gaza Strip,Jenin,1,Bombing/Explosion,Military,Israel,Al-Aqsa Martyrs Brigade,"A spokesman for the Al-Aqsa Martyrs Brigade stated that the attack was in retaliation for the deaths of two Palestinian men (Abu Halawa, 23, and Samer Oueiss, 25), whom the IDF killed in Ramallah on March 5, 2002."
113,2011,3,8,Pakistan,Faisalabad,1,Bombing/Explosion,Government (General),Pakistan,Tehrik-i-Taliban Pakistan (TTP),"A spokesman for the Tehrik-e-Taliban Pakistan (TTP), Ehsanullah Ehsan, claimed responsibility for the bombing, stating in a phone call to Reuters that it was in retaliation for the killing of one of their commanders in the city in 2010."
114,2002,3,30,Israel,Tel Aviv,1,Bombing/Explosion,Business,Israel,Al-Aqsa Martyrs Brigade,"A spokesman for the terrorist organization claimed that the attack was a response to Israel�s military barricade of Yasser Arafat�s compound in Ramallah, West Bank."
115,2012,6,12,Turkey,Istanbul,1,Bombing/Explosion,Police,Turkey,Devrimici Halk Kurtulus Cephesi (DHKP/C),"A spokesperson for Devrimici Halk Kurtulus Cephesi (DHKP/C) claimed responsibility for the attack, stating that the assailants were motivated by the memory of Engin Ceber, a prisoner tortured to death in 2008."
116,2013,8,28,Iraq,Baghdad,1,Bombing/Explosion,Private Citizens & Property,Iraq,Islamic State of Iraq and the Levant (ISIL),"A spokesperson for Islamic State of Iraq and the Levant (ISIL) stated that the attacks were in retaliation for the execution of Sunni prisoners on August 19, 2013."
117,2013,8,28,Iraq,Baghdad,1,Bombing/Explosion,Private Citizens & Property,Iraq,Islamic State of Iraq and the Levant (ISIL),"A spokesperson for Islamic State of Iraq and the Levant (ISIL) stated that the attacks were in retaliation for the execution of Sunni prisoners on August 19, 2013."
